"Video URL","User Channel URL","User Name","Comment Text","Number of Likes","Number of Replies","Comment Time","Replies"
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@OlgaCh%C3%A1vez-d2r","@OlgaChávez-d2r","Juan tu viaje por la India, no solo puso a prueba tus sentidos, sino que también tu sistema inmune, ya que mínimo si no tuvieras un sistema inmunológico fuerte 💪, ya te habría dado al menos algún problemilla en la piel o en tu sistema digestivo. 😮 Es impactante ver ésto la verdad.","35","0","1 day ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@mabelrodriguez8292","@mabelrodriguez8292","Juan te felicito por el respeto que demostraste ante esa cultura tan lejana a la nuestra. Qué estómago que tenés!!! Te felicito.","9","0","1 day ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@Edanargu","@Edanargu","Ese ha sido un video muy difícil de ver. Me ha causado una mezcla de emociones que no me imaginaba. Me sentí ahí dentro, caminado en el agua, oliendo el humo, sintiendo el calor. Me has transportado directamente a ese lugar. Al terminar de verlo dije: Pero que he visto! 
Es una cultura que respeto mucho. Sus creencias, tradiciones y cultura son válidas. Así como las mías también.","4","0","1 day ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@AnaMilenaTobon","@AnaMilenaTobon","Juan, he visto videos de la India, pero tu manera y osadia me encantan! Que fuerza moral, que empatia y respeto de tu parte, de tus opiniones  por culturas y religones milenarias tan lejanas de nuestra percepcion,  bravo. Eres unico. Cuidate!","34","0","2 days ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@deustocasa3078","@deustocasa3078","Estuve allí hace 35 años y veo que sigue igual , realmente he revivido las sensaciones contigo . Yo no me descalce, no fui capaz . Vanarasi es una ciudad muy muy fuerte para los occidentales , hay que respetar sus creencias pero yo tras ese “ paseo” solo quería ducharme y tirar todo lo que llevaba , hace 35 años estaba lleno de leprosos que acudían alli para morir. India es impresionante , pero jamás volvería a vanarasi gracias por el reportaje , es tal cual lo muestras","6","0","1 day ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@monaospina5152","@monaospina5152","Niño, que documental tan fuerte.
Doy  gracias a Dios por nacer en Colombia, esto nos enseña más apreciar  a América . Gracias a Dios viajó mucho pero nunca  pensé India pero ahora no,no,.
Gracias Juancho por ver los perritos. Cuídese y mil bendiciones BRAVO 👍👌🇨🇴🇨🇦🇨🇴🇨🇦","45","0","1 day ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@Jan-n6w5t","@Jan-n6w5t","Gracias Juan. Estoy orgullosa por qué tú nunca denigras a nadie y tratas a todos con dignidad y respeto. TE AMO. GRACIAS POR QUE VIAJO CONTIGO. ❤😊","44","1","1 day ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@RobertRCA","@RobertRCA","Juan tienes estómago de acero! Yo no creo haber aguantado a ver tanta suciedad con todo el respeto que se merecen los amigos de esas culturas. Cuida tu salud y gracias por tus excelentes videos. Se aprende mucho con tus videos, eres un verdadero influyente. 👍🏼","89","1","2 days ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@cardioide-","@cardioide-","De verdad que le agradezco muchísimo a mi compatriota Juan Felipe Díaz (se que detesta su otro apellido). Por estos vídeos tan instructivos, mostrando lugares en donde jamás estaré. Porque el dinero que gastaría yendo a la India me lo gastaría visitando incluso en repetidas ocasiones, otros lugares más atractivos.

Entonces, me basta mucho con ver estos vídeos y puedo decir que Juan hace el ""trabajo sucio"" por nosotros, siendo que yo nunca querría por ejemplo meter mis pies en esas aguas sucias y enlodadas u oler ese humo malsano. De verdad gracias por tanto Juan. Un saludo a la abuela bogotana desde Bogotá. 😊","3","0","18 hours ago (edited)",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@jhonnysancheztapia1015","@jhonnysancheztapia1015","Juan, son tantas las vivencias que él describe de una manera espectacular que nos deja paralizados en la pantalla hasta que termina el video. La manera de narrarnos cada momento captado por su cámara nos emociona. Gracias, Juan, por llegar hasta esos lugares y entregarlo todo por el todo. Los simples mortales que estamos del otro lado de la pantalla lo agradecemos muchísimo. ¡Bendiciones!","44","1","2 days ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@F%C3%A9lixManuelCepedaSanchez","@FélixManuelCepedaSanchez","Hermano Dios lo libre de una enfermedad, usted tiene mucha valor bendiciones,","31","0","2 days ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@rosariomuriel1966","@rosariomuriel1966","Muchas gracias Juan, y si efectivamente la India no es para todo el mundo, mi hija, yerno y yo fuimos y ellos dicen no regresarian y yo si, aunque no llegamos a Varanasi, es increible tu experiencia, de nvo, gracias por regalarnos todo este aprendizaje 🙏🏆👏 soy de la Cdmx México 🇲🇽","2","0","13 hours ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@ofelianovoamartinez9475","@ofelianovoamartinez9475","Cada nuevo video tuyo me impactan más por lo profesional que eres y el respeto que le demuestras a la gente y los lugares que visitas. Es un deleite verte y escucharte. Saludos desde México","2","0","17 hours ago",""
